,prev_text,current_text,source,literal expression suggestion 1,Good or Not? ,,target,third note,literal expression suggestion 2,verbose literal expression,notes,
563,"Seventeen nationalist groups were unified in the Greater German People's Party (Grossdeutsche Volkspartei), commonly called the Nationals, which described itself as a ""national-anti-Semitic, social libertarian party.""","The political heirs of the Liberals, the Nationals drew their support from the urban middle class and retained liberalism's strong anticlerical views.
      ",heirs,successors,,0,,,,,,
564,"His scorn for environmentalists as naysayers, nit-pickers and limit-mongers is undisguised, as was Reagan's.","A world without trade barriers, in which markets spread a balm of democracy, is another Reagan dream to which Bush has professed allegiance.
      ",balm,influence,,0,,,,,,
565,They are almost out of business.,"There are hardly any federal poverty dollars left to plunder.
      ",dollars,not metaphorical,,0,,,,,,
566,"He is the champion of the ruling classes the princes, the nobles, the clergy, the army.","On the other hand, the bourgeoisie, the peasants, the workers are frowned on as the natural prey of democracy, socialism, and the revolution.
      ",prey,victims,,0,,,,,,
567,War Crimes.,"Yesterday, I sat through the Senate Foreign Relations Committee and listened to Secretary of State John Kerry prattle on about how the US government is a beacon of hope and leadership.
      ",beacon,ideal,,0,,,,,,
568,"And be the soldier you were meant to be by crawling into a metallic skin and leave your flesh behind you, to be cared for for a while.","Out there flesh is a memory, lost on battlefields between shelling and screams of treads that are now legs, or the wreckage of guns that
      ",wreckage,bodies,,0,,,,,,
569,"Racism, then, manifests in a series of little tolls and pitfalls, obstructions to the American dream.","Often, it costs money, and poverty entangles people in its own insidious snare of red tape.
      ",entangles,begins a situation,,0,,,,,,
570,CommentComments Back to watch,"Martin Bashir 01/11/13 Bashir: School shooter talked down undermines NRA’s desire for guns in school
      ",desire,plan,,0,,,,,,
571,"Irish Republicans blew up much of Belfast and Derry, making little allowance for election years.","The Baader-Meinhoff Gang in Germany and the Red Brigades in Italy and Timothy McVeigh in Oklahoma City all put the lie to the notion that democracy is a panacea against the use of terror.
      ",panacea,solution,,0,,,,,,
572,"How do our policies about time, work/life balance and leisure compare with those in other countries?","How can we begin to tame the time poverty tiger, personally, culturally, and in terms of policies?
      ",tiger,challenge,,0,,,,,,
573,"As long as the product, person or group is popular, these questions are never raised.","Popularity justifies any behavior, and for this reason no social or moral standards withstand the assault of democracy.
      ",assault,influence,,0,,,,,,
574,"It is about the cruelty of the communist dictatorship, and about the mental peace of who had to suffer from it all of his life.","It is about the struggle of mother’s love and responsibility with love for a man, about the burning pains and triumphs of love, about the defeat of wealth and freedom to roots and responsibilities.
      ",defeat,loss,,0,,,,,,
575,"The Association for Union Democracy – If your union has forgotten what democracy means and who it is they’re supposed to be working for, and you want to know what you can do about it, then this is your site. A great how-to manual for going about fixing a broken union.","National Labor Relations Board – This agency is the government’s referee for disputes, squabbles and fights between unions and management, unions and their discontented members, non-union workers who want to unionize and management-types that want to prevent it, disenchanted union members who want to get rid of their union, and so on. Probably not a very fun job. Lots of good information here for those who want to form a union, get rid of a union, or who aren’t quite sure what they want to do. Plus the entire text of the Labor Relations Act of 1935. Read it if you dare! USCG Licensing & Documentation, Military Sea Service, TWIC, FCC Licensing, U.S. Passports & Traveler’s Health Information
      ",referee,mediator,,0,,,,,,
576,"I guess it has been well and truly there for many years now, but things like PRISM and XKeyscore were cloaked in enough secrecy that nobody knew for sure how far the sickness and rot had spread.","It now appears that the entire apparatus of government in the U.S. is completely rotten and probably unsalvageable.
      ",apparatus,System,,0,,,,,,
577,"AnonymousJanuary 7, 2012 at 6:15 PM Job?","A law license is a money making tool and poverty is the grease.
      ",grease,cause,,0,,,,,,
578,"The ads, according to Carter, continuously air and permeate into individuals’ minds until “they do not believe any candidate is capable of running our country.”","Carter also cited gerrymandering, or the realignment of voting districts based off of desired election results, as a cause for the decline of democracy in the United States.
      ",decline,change in processes ,,0,,,,,,
